identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:1143965,"Taschenbuch für Mathematik, Physik, Geodäsie und Astronomie","Wolf, Rudolf",1860,ger,Haller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1147333,Die  Lehre von den geradlinigen Gebilden in der Ebene,"Wolf, Rudolf",1841,ger,Huber,,"['zut', 'book', 'collections', 'wihibe', 'privlib', 'pbrwolf', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1158332,Taschenbuch für Mathematik und Physik,"Wolf, Rudolf",1856,ger,Druck und Verlag von Fr. Haller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1168069,Résolution des équations du 3ème degré : (lithogr.),"Burnier, Frédéric",1862,fre,[Verlag nicht ermittelbar],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1188631,Carl Heinrich Gräffe. Ein Lebensbild,"Gräffe, Karl Heinrich",1874,ger,Füssli,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1198167,Ausarbeitung der Vorlesungen über Technische Physik : gehalten an der Eidgenössischen Polytechnischen Schule in Zürich,"Ramel, Georg Friedrich","['1878', '1879']",ger,Polytechnikerverein,"['LEHRBÜCHER (DOKUMENTENTYP)', 'NEUNZEHNTES JAHRHUNDERT N. CHR', 'PHYSIK']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1200314,"Taschenbuch für Mathematik, Physik, Geodäsie und Astronomie","Wolf, Rudolf",1869,ger,Druck und Verlag von Friedrich Schulthess,"['FACHLICHE NACHSCHLAGEWERKE + FACHLEXIKA + HANDBÜCHER (DOKUMENTENTYP)', 'NATURWISSENSCHAFTEN UND MATHEMATIK']","['zut', 'book', 'collections', 'wihibe', 'collections', 'profethz', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1208647,Beherzigungen bei der Einführung der Pressfreiheit in der Schweiz,"Snell, Ludwig",1829,ger,Gessner,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1209616,Programm der Zürcherischen Kantonsschule zur Eröffnung des neuen mit dem 1. Mai 1848 beginnenden Schuljahres,[s.n.],1848,ger,Orell-Füssli,"['SCHULBERICHTE + JAHRESBERICHTE (ERZIEHUNG)', 'SEKUNDARSTUFE II + GYMNASIEN (BILDUNGSSYSTEM)', 'ZÜRICH, STADT (KANTON ZÜRICH)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1209725,Programm der zürcherischen Kantonsschule zur Eröffnung des neuen mit dem 11. April 1853 beginnenden Schuljahres,"Hofmeister, Rudolf Heinrich",1853,ger,Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1209797,Programm der zürcherischen Kantonsschule zur Eröffnung des neuen mit dem 3. April 1846 beginnenden Schuljahres,"Mousson, Albert",1846,ger,"Orell, Füssli und Comp.",,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1294756,Lehrbuch der reinen Mathematik,"Gräffe, Karl Heinrich",1835,ger,Schulthess,"['Mathematikunterricht', 'Schulbuch']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1311190,"Taschenbuch für Mathematik, Physik, Geodäsie und Astronomie","Wolf, Rudolf",1877,ger,Friedrich Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1337533,Die  Statik und Mechanik fester Körper,"Gräffe, Karl Heinrich",1840,ger,[s. n.],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1337643,Zusätze zu seiner Methode die höheren numerischen Gleichungen aufzulösen als Programm der Zürcherischen Cantonsschule,"Gräffe, Karl Heinrich",1839,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1352541,Mémoire sur la meilleure marche à suivre dans l'enseignement de la géométrie élémentaire,"Develey, Em",1810,fre,Blanchard,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1352561,"Ueber die Vortheile und das Vergnügen, welche das Studium der Mathematik gewährt : eine Rede gehalten bei der Eröffnung der neuen Industrieschule des Kantons Zürich am 22. April 1833","Horner, Johann Caspar",1833,ger,Gessner,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1352586,"Das  axonometrische Zeichnen für technische Lehranstalten, Gewerbe- und Industrieschulen","Largiadèr, Anton P.",1858,ger,Verlags-Comptoir,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1354525,Zur Theorie der complexen Grössen,"Rebstein, Jakob",1864,ger,Huber,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1357205,"Die  Auflösung der höheren numerischen Gleichungen, als Beantwortung einer von der königl. Akademie der Wissenschaften zu Berlin aufgestellten Preisfrage","Gräffe, Karl Heinrich",1837,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1367912,Die  Einführung der Witterungsprognosen in der Schweiz : Bericht über die bisherigen Resultate,"Billwiller, Robert",1879,ger,[Verlag nicht ermittelbar],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1367942,Monographie über den Hagel : Bericht über die bisherigen Resultate,"Frei, J.L.",1865,ger,Bürkli,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1368598,La  physique terrestre,[s.n.],1858,fre,Ramboz et Schuchardt,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1368634,Essai sur la composition et la constitution de l'atmosphère lu à la séance d'ouverture des cours de l'Académie de Neuchâtel,"Ladame, Henri",1846,fre,Wolfrath,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1368706,Note sur la détermination de la vitesse de la lumière dans les substances transpartentes,"Ladame, Henri",1847,fre,Wolfrath,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1368724,Note sur les phénomènes électriques de l'air pendant certains états particuliers de l'atmosphère et sur l'influence qu'exerce cet état sur le jeu des machines électriques,"Ladame, Henri",1847,fre,Wolfrath,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1369053,"Note sur une relation entre le volume atomique, le coefficient de dilatation et le coeffficient d'élasticité dans les corps chimiquement simples","Ritter, Élie",1843,fre,Fick,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1369074,Note sur la constitution physique des fluides élastiques,"Ritter, Élie",1845,fre,Fick,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1369100,"Gymnasii Bernensis annuas lectiones inde a die XI. mensis aprilis habendas ex decreto septemvirorum scholis regundis indicit Bernh. Studer : I. ad climatologiam agri bernensis spectantia, II. annales scholastici","Studer, Bernh",1837,ger,Staempfli,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1369430,Abhandlung über die Wärme der Erde in Basel,"Wette, Wilhelm Martin Leberecht de",1823,ger,Wieland,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1369452,Recherches sur le mode de distribution de l'électricité dynamique dans les corps qui lui servent de conducteurs,"La Rive, Auguste Arthur de",1825,fre,Paschoud,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
